Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Other,18
2015,North West,E12000002,Urban,Unclassified,Darkness - lights unlit,Fine no high winds,16
2015,North West,E12000002,Urban,Unclassified,Darkness - lights unlit,Raining no high winds,8
2015,North West,E12000002,Urban,Unclassified,Darkness - lights unlit,Fine + high winds,1
2015,North West,E12000002,Urban,Unclassified,Darkness - lights unlit,Raining + high winds,1
2015,North West,E12000002,Urban,Unclassified,Darkness - lights unlit,Other,1
2015,North West,E12000002,Urban,Unclassified,Darkness - no lighting,Unknown,1
2015,North West,E12000002,Urban,Unclassified,Darkness - no lighting,Fine no high winds,13
2015,North West,E12000002,Urban,Unclassified,Darkness - no lighting,Raining no high winds,6
2015,North West,E12000002,Urban,Unclassified,Darkness - no lighting,Raining + high winds,1
2015,North West,E12000002,Urban,Unclassified,Darkness - no lighting,Other,1
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Unknown,9
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Fine no high winds,15
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Raining no high winds,8
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Raining + high winds,2
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Fog or mist,1
2015,North West,E12000002,Urban,Unclassified,Darkness - lighting unknown,Other,2
2015,North West,E12000002,Rural,Motorway,Daylight,Unknown,3
2015,North West,E12000002,Rural,Motorway,Daylight,Fine no high winds,375
2015,North West,E12000002,Rural,Motorway,Daylight,Raining no high winds,63
2015,North West,E12000002,Rural,Motorway,Daylight,Snowing no high winds,5
2015,North West,E12000002,Rural,Motorway,Daylight,Fine + high winds,3
2015,North West,E12000002,Rural,Motorway,Daylight,Raining + high winds,15
2015,North West,E12000002,Rural,Motorway,Daylight,Snowing + high winds,7
2015,North West,E12000002,Rural,Motorway,Daylight,Fog or mist,2
2015,North West,E12000002,Rural,Motorway,Daylight,Other,6
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Fine no high winds,58
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Raining no high winds,12
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Snowing no high winds,2
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Raining + high winds,3
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Snowing + high winds,1
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Fog or mist,1
2015,North West,E12000002,Rural,Motorway,Darkness - lights lit,Other,2
2015,North West,E12000002,Rural,Motorway,Darkness - lights unlit,Fine no high winds,6
2015,North West,E12000002,Rural,Motorway,Darkness - lights unlit,Raining no high winds,6
2015,North West,E12000002,Rural,Motorway,Darkness - lights unlit,Raining + high winds,1
2015,North West,E12000002,Rural,Motorway,Darkness - lights unlit,Other,1
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Fine no high winds,50
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Raining no high winds,20
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Snowing no high winds,4
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Fine + high winds,5
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Raining + high winds,11
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Snowing + high winds,2
2015,North West,E12000002,Rural,Motorway,Darkness - no lighting,Other,1
2015,North West,E12000002,Rural,Motorway,Darkness - lighting unknown,Unknown,2
